"BIBTEXKEY","first_name","middle_name","last_name","full_name","JOURNAL","NUMBER","PAGES","PUBLISHER","TITLE","TYPE","VOLUME","YEAR","DOI","ISSN","URL","AUTHOR_KEYWORDS","LANGUAGE","ABBREV_SOURCE_TITLE","PUBLICATION_STAGE","SOURCE","AFFILIATIONS","Affiliation_country","Affiliation_country_code","Gender","Gender.Probability","Gender.Count","author_id","paper_id_author_id","author_order","Max","author_last","author_single","unique_name","OA","Citations"
"Kutnowski2008599","Martin",NA,"Kutnowski","Martin Kutnowski","Popular Music and Society","5","599 – 616",NA,"Trope and irony in the Simpsons' overture","Article","31",2008,"10.1080/03007760802188363","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-61149368651&doi = 10.1080%2f03007760802188363&partnerID = 40&md5 = f963565f05e482cc2b0575df3777556b",NA,"English","Pop. Music Soc.","Final","Scopus","Saint Thomas University, Fredericton, NB, Canada","Canada","CA","male",1,28548,"author1","Kutnowski2008599_author1",1,1,0,1,"kutnowski_martin","Undefined",6
"Atton200953","Chris",NA,"Atton","Chris Atton","Popular Music","1","53 – 67",NA,"Writing about listening: Alternative discourses in rock journalism","Article","28",2009,"10.1017/S026114300800158X","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-68549098262&doi = 10.1017%2fS026114300800158X&partnerID = 40&md5 = 79b8ff02b9f581250e36fa93b2813c35",NA,"English","Pop. Music","Final","Scopus","School of Creative Industries, Napier University, Edinburgh EH10 5LG, Craighouse Road, United Kingdom","United Kingdom","GB","male",0.95,115838,"author1","Atton200953_author1",1,1,0,1,"atton_chris","Open Access",28
"Meier2008240","Leslie","M.","Meier","Leslie M. Meier","Journal of Popular Music Studies","3","240 – 260","University of California Press","In excess? Body genres, ""Bad"" music, and the judgment of audiences","Article","20",2008,"10.1111/j.1533-1598.2008.00160.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-65749295608&doi = 10.1111%2fj.1533-1598.2008.00160.x&partnerID = 40&md5 = b1e46480c751b3f379bb3ad8a105aeab",NA,"English","J. Pop. Music Stud.","Final","Scopus","University of Western Ontario",NA,NA,"male",0.77,22,"author1","Meier2008240_author1",1,1,0,1,"meier_leslie","Undefined",12
"Styven200753","Maria",NA,"Styven","Maria Styven","Popular Music and Society","1","53 – 74",NA,"The intangibility of music in the internet age","Article","30",2007,"10.1080/03007760500503442","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-34347305265&doi = 10.1080%2f03007760500503442&partnerID = 40&md5 = a6c79b31103343643975616a2d9ce568",NA,"English","Pop. Music Soc.","Final","Scopus","Luleå University of Technology, Sweden","Sweden","SE","female",1,40309,"author1","Styven200753_author1",1,1,0,1,"styven_maria","Undefined",29
"Jones2009108","Fernando",NA,"Jones","Fernando Jones","Journal of Popular Music Studies","1","108 – 112","University of California Press","Teaching the blues effectively","Article","21",2009,"10.1111/j.1533-1598.2009.01174.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-65849427514&doi = 10.1111%2fj.1533-1598.2009.01174.x&partnerID = 40&md5 = 2e6b30b6104294d3d888249155eb5a02",NA,"English","J. Pop. Music Stud.","Final","Scopus","Columbia College Chicago",NA,NA,"male",0.95,151,"author1","Jones2009108_author1",1,1,0,1,"jones_fernando","Undefined",1
"Lightweis-Goff2008150","Jennie",NA,"Lightweis-Goff","Jennie Lightweis-Goff","Journal of Popular Music Studies","2","150 – 165","University of California Press","Long time I trabble on de way: Stephen Foster's conversion narrative","Article","20",2008,"10.1111/j.1533-1598.2008.00152.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-57749143817&doi = 10.1111%2fj.1533-1598.2008.00152.x&partnerID = 40&md5 = 21b9c5c5e24b49e0f166c3096e770647",NA,"English","J. Pop. Music Stud.","Final","Scopus","University of Rochester",NA,NA,"female",1,14,"author1","Lightweis-Goff2008150_author1",1,1,0,1,"lightweis-goff_jennie","Undefined",5
"Putnam2009595","Michael","T.","Putnam","Michael T. Putnam","Popular Music and Society","5","595 – 606",NA,"Music as a weapon: Reactions and responses to RAF terrorism in the music of ton steine scherben and their successors in post-9/11 music","Article","32",2009,"10.1080/03007760903251417","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-77956348189&doi = 10.1080%2f03007760903251417&partnerID = 40&md5 = 402ca46793067561d8802b03a6d13f87",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.98,1387,"author1","Putnam2009595_author1",1,1,0,1,"putnam_michael","Undefined",5
"Deutsch200990","Herbert","A.","Deutsch","Herbert A. Deutsch","Journal of Popular Music Studies","1","90 – 96","University of California Press","Where was technology and music education twenty years ago?","Article","21",2009,"10.1111/j.1533-1598.2009.01171.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-65849386800&doi = 10.1111%2fj.1533-1598.2009.01171.x&partnerID = 40&md5 = 5686cbc10c38dd1d98626c0e60409fd3",NA,"English","J. Pop. Music Stud.","Final","Scopus","Hofstra University",NA,NA,"male",0.99,97,"author1","Deutsch200990_author1",1,1,0,1,"deutsch_herbert","Undefined",0
"Hughes2009113","Charles",NA,"Hughes","Charles Hughes","Popular Music and Society","1","113 – 115",NA,"The Boogie‐Woogie Rumble","Article","32",2009,"10.1080/03007760802521845","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85009568113&doi = 10.1080%2f03007760802521845&partnerID = 40&md5 = 44fa2f94b22f5a81a1e0442dabdc8d1d",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.99,513,"author1","Hughes2009113_author1",1,1,0,1,"hughes_charles","Open Access",0
"Valassopoulos2007329","Anastasia",NA,"Valassopoulos","Anastasia Valassopoulos","Popular Music and Society","3","329 – 341",NA,"""Secrets"" and ""closed off areas"": The concept of Tarab or ""enchantment"" in Arab popular culture","Article","30",2007,"10.1080/03007760600834788","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-61149590110&doi = 10.1080%2f03007760600834788&partnerID = 40&md5 = 4f405284de3ec0c4ff9fc11e3aa22a61",NA,"English","Pop. Music Soc.","Final","Scopus","University of Manchester",NA,NA,"female",1,53,"author1","Valassopoulos2007329_author1",1,1,0,1,"valassopoulos_anastasia","Undefined",3
"Forsyth200857","Alasdair",NA,"Forsyth","Alasdair Forsyth","Popular Music and Society","1","57 – 78",NA,"Alco-pop? The use of popular music in Glasgow pubs","Article","31",2008,"10.1080/03007760601061902","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-49749143816&doi = 10.1080%2f03007760601061902&partnerID = 40&md5 = e0c7dffe09bc52082add57ee2a792938",NA,"English","Pop. Music Soc.","Final","Scopus","Glasgow Centre for the Study of Violence, Glasgow Caledonian University, United Kingdom; Department of Adult and Continuing Education, University of Glasgow","United Kingdom","GB","male",1,3940,"author1","Forsyth200857_author1",1,2,0,0,"forsyth_alasdair","Open Access",34
"Forsyth200857","Martin",NA,"Cloonan","Martin Cloonan","Popular Music and Society","1","57 – 78",NA,"Alco-pop? The use of popular music in Glasgow pubs","Article","31",2008,"10.1080/03007760601061902","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-49749143816&doi = 10.1080%2f03007760601061902&partnerID = 40&md5 = e0c7dffe09bc52082add57ee2a792938",NA,"English","Pop. Music Soc.","Final","Scopus","Glasgow Centre for the Study of Violence, Glasgow Caledonian University, United Kingdom; Department of Adult and Continuing Education, University of Glasgow","United Kingdom","GB","male",1,121421,"author2","Forsyth200857_author2",2,2,1,0,"cloonan_martin","Open Access",34
"Boulton2008373","Andrew",NA,"Boulton","Andrew Boulton","Popular Music and Society","3","373 – 387",NA,"The popular geopolitical wor(l)ds of post-9/11 country music","Article","31",2008,"10.1080/03007760701563518","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-57749126143&doi = 10.1080%2f03007760701563518&partnerID = 40&md5 = 1653a619df9ac670d881b313bd4ed8ea",NA,"English","Pop. Music Soc.","Final","Scopus","Department of Geography, University of Kentucky, United States","United States","US","male",1,401335,"author1","Boulton2008373_author1",1,1,0,1,"boulton_andrew","Undefined",20
"Wickström2009313","David-Emil",NA,"Wickström","David-Emil Wickström","Popular Music and Society","3","313 – 330",NA,"Visions of the (Holy) Motherland in Contemporary Russian Popular Music: Nostalgia, Patriotism, Religion and Russkii Rok","Article","32",2009,"10.1080/03007760902985668","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-77950751787&doi = 10.1080%2f03007760902985668&partnerID = 40&md5 = cc4182433400f94156daced634245393",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.75,1,"author1","Wickström2009313_author1",1,2,0,0,"wickström_david-emil","Undefined",18
"Wickström2009313","Yngvar","B.","Steinholt","Yngvar B. Steinholt","Popular Music and Society","3","313 – 330",NA,"Visions of the (Holy) Motherland in Contemporary Russian Popular Music: Nostalgia, Patriotism, Religion and Russkii Rok","Article","32",2009,"10.1080/03007760902985668","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-77950751787&doi = 10.1080%2f03007760902985668&partnerID = 40&md5 = cc4182433400f94156daced634245393",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.75,1,"author2","Wickström2009313_author2",2,2,1,0,"steinholt_yngvar","Undefined",18
"Barrer200959","Peter",NA,"Barrer","Peter Barrer","Popular Music and Society","1","59 – 75","Routledge","""My white, blue, and red heart"": Constructing a Slovak identity in rap music","Article","32",2009,"10.1080/03007760802207825","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-62749095965&doi = 10.1080%2f03007760802207825&partnerID = 40&md5 = ba32da1ed7908e6a54a30ead70a13863",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.99,1178,"author1","Barrer200959_author1",1,1,0,1,"barrer_peter","Undefined",14
"Cooper2008663","B.","Lee","Cooper","B. Lee Cooper","Popular Music and Society","5","663 – 683",NA,"Honky tonks, jukeboxes, and wild, wild women: Audio images of blue-collar night life - A selected discography","Article","31",2008,"10.1080/03007760802190583","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-61149312777&doi = 10.1080%2f03007760802190583&partnerID = 40&md5 = 700952cd27c6e0324b1ca2a2ca195804",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.83,12,"author1","Cooper2008663_author1",1,1,0,1,"cooper_b.","Undefined",1
"Alvarez2008575","Luis",NA,"Alvarez","Luis Alvarez","Popular Music and Society","5","575 – 597",NA,"Reggae rhythms in dignity's diaspora: Globalization, indigenous identity, and the circulation of cultural struggle","Article","31",2008,"10.1080/03007760802188272","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-61149435050&doi = 10.1080%2f03007760802188272&partnerID = 40&md5 = 0f3640d4e0eb89f7933c96911aa6a20a",NA,"English","Pop. Music Soc.","Final","Scopus","Department of History, University of California, San Diego, CA, United States","United States","US","male",1,225722,"author1","Alvarez2008575_author1",1,1,0,1,"alvarez_luis","Undefined",21
"Ingram200821","David",NA,"Ingram","David Ingram","Popular Music and Society","1","21 – 36",NA,"""My dirty stream"": Pete Seeger, American folk music, and environmental protest","Article","31",2008,"10.1080/03007760601061456","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-51249132646&doi = 10.1080%2f03007760601061456&partnerID = 40&md5 = d0140df2c88f60c2ba879a8041fbefd2",NA,"English","Pop. Music Soc.","Final","Scopus","School of Arts, Brunel University, West London, United Kingdom","United Kingdom","GB","male",1,381854,"author1","Ingram200821_author1",1,1,0,1,"ingram_david","Open Access",28
"Till2008151","Rupert",NA,"Till","Rupert Till","Popular Music","1","151 – 154",NA,"Que viva la musica popular International Association for the Study of Popular music, 14th Biennial Conference, 25-29 June 2007, Mexico City","Article","27",2008,"10.1017/S0261143008001530","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-69849131477&doi = 10.1017%2fS0261143008001530&partnerID = 40&md5 = 2b12ec4900dd002b2006695ee2c599f1",NA,"English","Pop. Music","Final","Scopus","University of Huddersfield, United Kingdom; Edinburgh, United Kingdom","United Kingdom","GB","male",1,4645,"author1","Till2008151_author1",1,2,0,0,"till_rupert","Undefined",0
"Till2008151","Jan",NA,"Fairley","Jan Fairley","Popular Music","1","151 – 154",NA,"Que viva la musica popular International Association for the Study of Popular music, 14th Biennial Conference, 25-29 June 2007, Mexico City","Article","27",2008,"10.1017/S0261143008001530","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-69849131477&doi = 10.1017%2fS0261143008001530&partnerID = 40&md5 = 2b12ec4900dd002b2006695ee2c599f1",NA,"English","Pop. Music","Final","Scopus","University of Huddersfield, United Kingdom; Edinburgh, United Kingdom","United Kingdom","GB","female",0.71,13216,"author2","Till2008151_author2",2,2,1,0,"fairley_jan","Undefined",0
"Lipsitz2009117","George",NA,"Lipsitz","George Lipsitz","Popular Music and Society","1","117 – 121",NA,"“What’s Race Got to Do with It?” Remembering Ike Turner (1931–2007)","Article","32",2009,"10.1080/03007760802521969","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85009560984&doi = 10.1080%2f03007760802521969&partnerID = 40&md5 = 358d295f2fd3b1c5622867d26761ec43",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.99,803,"author1","Lipsitz2009117_author1",1,1,0,1,"lipsitz_george","Undefined",4
"Tongson2011229","Karen",NA,"Tongson","Karen Tongson","Journal of Popular Music Studies","2","229 – 234","University of California Press","Choral vocality and pop fantasies of collaboration","Article","23",2011,"10.1111/j.1533-1598.2011.01285.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79959382463&doi = 10.1111%2fj.1533-1598.2011.01285.x&partnerID = 40&md5 = 4564b3d59fcfbbf334c6c90d4024afca",NA,"English","J. Pop. Music Stud.","Final","Scopus","University of Southern California, United States","United States","US","female",1,423700,"author1","Tongson2011229_author1",1,1,0,1,"tongson_karen","Undefined",3
"Schurk2011493","William","L.","Schurk","William L. Schurk","Popular Music and Society","4","493 – 502",NA,"Bumble boogie: 100 Years of bee imagery in american sound recordingsa discography","Article","34",2011,"10.1080/03007766.2010.538237","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80053298834&doi = 10.1080%2f03007766.2010.538237&partnerID = 40&md5 = da352a936b7868da5dd19e00385d948d",NA,"English","Pop. Music Soc.","Final","Scopus","Bowling Green State University, United States; Department of History and American Culture, United States","United States","US","male",1,452552,"author1","Schurk2011493_author1",1,2,0,0,"schurk_william","Undefined",1
"Schurk2011493","B.","Lee","Cooper","B. Lee Cooper","Popular Music and Society","4","493 – 502",NA,"Bumble boogie: 100 Years of bee imagery in american sound recordingsa discography","Article","34",2011,"10.1080/03007766.2010.538237","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80053298834&doi = 10.1080%2f03007766.2010.538237&partnerID = 40&md5 = da352a936b7868da5dd19e00385d948d",NA,"English","Pop. Music Soc.","Final","Scopus","Bowling Green State University, United States; Department of History and American Culture, United States","United States","US","male",0.65,2510,"author2","Schurk2011493_author2",2,2,1,0,"cooper_b.","Undefined",1
"Cockrell2012173","Dale",NA,"Cockrell","Dale Cockrell","Popular Music","1","173 – 174",NA,"Charles Edward Hamm (1925-2011)","Article","31",2012,"10.1017/S0261143011000596","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85022900656&doi = 10.1017%2fS0261143011000596&partnerID = 40&md5 = 80a327ad4a8128ea62483ead2ee383dd",NA,"English","Pop. Music","Final","Scopus","Center for Popular Music, Middle Tennessee State University, Murfreesboro, TN, United States","United States","US","male",0.93,17186,"author1","Cockrell2012173_author1",1,1,0,1,"cockrell_dale","Undefined",0
"Garland2012509","Shannon",NA,"Garland","Shannon Garland","Journal of Popular Music Studies","4","509 – 531","University of California Press","""The space, the gear, and two big cans of beer"": Fora do Eixo and the debate over circulation, remuneration, and aesthetics in the Brazilian alternative market","Article","24",2012,"10.1111/jpms.12005","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84871780067&doi = 10.1111%2fjpms.12005&partnerID = 40&md5 = bceb2c6753e28fe78e0a6178e3a2d143",NA,"English","J. Pop. Music Stud.","Final","Scopus","Columbia University, United States","United States","US","female",0.88,29217,"author1","Garland2012509_author1",1,1,0,1,"garland_shannon","Undefined",8
"DeClercq201147","Trevor",NA,"De Clercq","Trevor De Clercq","Popular Music","1","47 – 70",NA,"A corpus analysis of rock harmony","Article","30",2011,"10.1017/S026114301000067X","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79960456514&doi = 10.1017%2fS026114301000067X&partnerID = 40&md5 = 9d0cb2725c05a71081531b6e756f4625",NA,"English","Pop. Music","Final","Scopus","Eastman School of Music, Department of Music Theory, Rochester, NY 14604, 26 Gibbs Street, United States","United States","US","male",1,53856,"author1","DeClercq201147_author1",1,2,0,0,"de clercq_trevor","Undefined",170
"DeClercq201147","David",NA,"Temperley","David Temperley","Popular Music","1","47 – 70",NA,"A corpus analysis of rock harmony","Article","30",2011,"10.1017/S026114301000067X","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79960456514&doi = 10.1017%2fS026114301000067X&partnerID = 40&md5 = 9d0cb2725c05a71081531b6e756f4625",NA,"English","Pop. Music","Final","Scopus","Eastman School of Music, Department of Music Theory, Rochester, NY 14604, 26 Gibbs Street, United States","United States","US","male",1,1143153,"author2","DeClercq201147_author2",2,2,1,0,"temperley_david","Undefined",170
"Coviello2011381","Peter",NA,"Coviello","Peter Coviello","Journal of Popular Music Studies","4","381 – 392","University of California Press","Call me Morbid","Article","23",2011,"10.1111/j.1533-1598.2011.01302.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84855228697&doi = 10.1111%2fj.1533-1598.2011.01302.x&partnerID = 40&md5 = 0e638fda0c49048de4a4797177bea7dd",NA,"English","J. Pop. Music Stud.","Final","Scopus","Bowdoin College, United States","United States","US","male",1,252618,"author1","Coviello2011381_author1",1,1,0,1,"coviello_peter","Undefined",1
"Sanga2011351","Imani",NA,"Sanga","Imani Sanga","Popular Music and Society","3","351 – 368",NA,"Music and the regulatory regimes of gender and sexuality in Tanzania","Article","34",2011,"10.1080/03007766.2010.522816","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79960811234&doi = 10.1080%2f03007766.2010.522816&partnerID = 40&md5 = c2b852f656d826dafad17c80fc37fe9f",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",1,1,"author1","Sanga2011351_author1",1,1,0,1,"sanga_imani","Undefined",6
"Tucker2010141","Joshua",NA,"Tucker","Joshua Tucker","Popular Music and Society","2","141 – 162",NA,"Mediating sentiment and shaping publics: Recording practice and the articulation of social change in Andean Lima","Article","33",2010,"10.1080/03007760903142863","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-77951702939&doi = 10.1080%2f03007760903142863&partnerID = 40&md5 = 18c982618c4ff0e437937b706257ff09",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",0.98,181,"author1","Tucker2010141_author1",1,1,0,1,"tucker_joshua","Undefined",6
"Beaster-Jones2011351","Jayson",NA,"Beaster-Jones","Jayson Beaster-Jones","Popular Music","3","351 – 370",NA,"Re-tuning the past, selling the future: Tata-AIG and the Tree of Love","Article","30",2011,"10.1017/S0261143011000183","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84855668373&doi = 10.1017%2fS0261143011000183&partnerID = 40&md5 = b1cb54fa289a400a18974c1b3ac08532",NA,"English","Pop. Music","Final","Scopus","Department of Performance Studies, Texas A and M University, TX, United States","United States","US","male",1,10881,"author1","Beaster-Jones2011351_author1",1,1,0,1,"beaster-jones_jayson","Undefined",8
"Weisbard2011207","Eric",NA,"Weisbard","Eric Weisbard","Journal of Popular Music Studies","2","207 – 211","University of California Press","Talking popular music in the field and off the field","Article","23",2011,"10.1111/j.1533-1598.2011.01282.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79959483044&doi = 10.1111%2fj.1533-1598.2011.01282.x&partnerID = 40&md5 = ffe864747bb9fadaae37ac06e65d04e2",NA,"English","J. Pop. Music Stud.","Final","Scopus","University of Alabama, United States","United States","US","male",1,406678,"author1","Weisbard2011207_author1",1,1,0,1,"weisbard_eric","Undefined",2
"VanElferen201189","Isabella",NA,"Van Elferen","Isabella Van Elferen","Popular Music","1","89 – 103",NA,"East German Goth and the spectres of Marx","Article","30",2011,"10.1017/S0261143010000693","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79960462755&doi = 10.1017%2fS0261143010000693&partnerID = 40&md5 = 8fdd80c94daf9753e678e75b3f40f3ad",NA,"English","Pop. Music","Final","Scopus","Utrecht University, Department of Musicology, 3512 EV Utrecht, Muntstraat 2A, Netherlands","Netherlands","NL","female",0.99,1535,"author1","VanElferen201189_author1",1,1,0,1,"van elferen_isabella","Undefined",8
"Goldschmitt2011417","Kariann",NA,"Goldschmitt","Kariann Goldschmitt","Popular Music and Society","4","417 – 436",NA,"Joga Bonito pelo mundo, Guerreiro: Music, transmedia advertising, and brasilidade in the 2006 World Cup","Article","34",2011,"10.1080/03007766.2011.601572","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80053319858&doi = 10.1080%2f03007766.2011.601572&partnerID = 40&md5 = a3347f238fc6e4cf281c2424ea574ca7",NA,"English","Pop. Music Soc.","Final","Scopus","Department of Music, New College of Florida, United States","United States","US","female",1,282,"author1","Goldschmitt2011417_author1",1,1,0,1,"goldschmitt_kariann","Undefined",6
"Fitzgerald20093","Jon",NA,"Fitzgerald","Jon Fitzgerald","Popular Music and Society","1","3 – 24",NA,"Creating those good vibrations: An analysis of Brian Wilson's US top 40 hits 1963-66","Article","32",2009,"10.1080/03007760802191300","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-62649097774&doi = 10.1080%2f03007760802191300&partnerID = 40&md5 = c794a4363b2c0c91a14f2e0f2bb34e47",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"male",1,33,"author1","Fitzgerald20093_author1",1,1,0,1,"fitzgerald_jon","Undefined",5
"Merchant2009371","Tanya",NA,"Merchant","Tanya Merchant","Popular Music and Society","3","371 – 386",NA,"Popping Tradition: Performing Maqom and Uzbek “National” Estrada in the 21st Century","Article","32",2009,"10.1080/03007760902985817","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-77950742215&doi = 10.1080%2f03007760902985817&partnerID = 40&md5 = 48cc0bec8020ddf0363ce35fecf0aac3",NA,"English","Pop. Music Soc.","Final","Scopus",NA,NA,NA,"female",1,123,"author1","Merchant2009371_author1",1,1,0,1,"merchant_tanya","Undefined",6
"Biron2011661","Dean",NA,"Biron","Dean Biron","Popular Music and Society","5","661 – 682",NA,"Towards a popular music criticism of replenishment","Article","34",2011,"10.1080/03007766.2011.557282","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84857709109&doi = 10.1080%2f03007766.2011.557282&partnerID = 40&md5 = 052c83a80c81e58022ca7e9276309459",NA,"English","Pop. Music Soc.","Final","Scopus","University of New England, Australia, Australia","Australia","AU","male",1,10736,"author1","Biron2011661_author1",1,1,0,1,"biron_dean","Undefined",6
"Percival2011455","J.","Mark","Percival","J. Mark Percival","Popular Music and Society","4","455 – 473",NA,"Music radio and the record industry: Songs, sounds, and power","Article","34",2011,"10.1080/03007766.2011.601598","03007766","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-80053306672&doi = 10.1080%2f03007766.2011.601598&partnerID = 40&md5 = 6ef2cc3a0ed94464247d04bee1b20487",NA,"English","Pop. Music Soc.","Final","Scopus","Media in the School of Arts and Social Sciences, Queen Margaret University, Edinburgh, United Kingdom","United Kingdom","GB","male",0.84,1504,"author1","Percival2011455_author1",1,1,0,1,"percival_j.","Undefined",15
"Stobart2011209","Henry",NA,"Stobart","Henry Stobart","Popular Music","2","209 – 226",NA,"Constructing community in the digital home studio: Carnival, creativity and indigenous music video production in the Bolivian Andes","Article","30",2011,"10.1017/S0261143011000031","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79959467644&doi = 10.1017%2fS0261143011000031&partnerID = 40&md5 = d66ac8ae0dbdbc0c380a040617b43038",NA,"English","Pop. Music","Final","Scopus","Royal Holloway, University of London, Egham, Surrey, United Kingdom","United Kingdom","GB","male",1,21606,"author1","Stobart2011209_author1",1,1,0,1,"stobart_henry","Undefined",13
"McLaughlin201171","Fiona",NA,"McLaughlin","Fiona McLaughlin","Popular Music","1","71 – 87",NA,"Youssou N'Dour's Sant Yàlla/Egypt: A musical experiment in Sufi modernity","Article","30",2011,"10.1017/S0261143010000656","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79960457614&doi = 10.1017%2fS0261143010000656&partnerID = 40&md5 = 41fc97384d8e272c2cabcc5e66c1294b",NA,"English","Pop. Music","Final","Scopus","Department of Languages, Literatures and Cultures, University of Florida, United States","United States","US","female",1,9717,"author1","McLaughlin201171_author1",1,1,0,1,"mclaughlin_fiona","Undefined",9
"Demers2011195","Joanna",NA,"Demers","Joanna Demers","Journal of Popular Music Studies","2","195 – 199","University of California Press","On meaninglessness","Article","23",2011,"10.1111/j.1533-1598.2011.01280.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79959412651&doi = 10.1111%2fj.1533-1598.2011.01280.x&partnerID = 40&md5 = fde4f1dc0d1a2f1e543546a7c2924434",NA,"English","J. Pop. Music Stud.","Final","Scopus","University of Southern California, United States","United States","US","female",1,50150,"author1","Demers2011195_author1",1,1,0,1,"demers_joanna","Undefined",0
"Maus2009137","Fred",NA,"Maus","Fred Maus","Journal of Popular Music Studies","1","137 – 144","University of California Press","Reflections","Article","21",2009,"10.1111/j.1533-1598.2009.01176_7.x","15242226","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-65849163476&doi = 10.1111%2fj.1533-1598.2009.01176_7.x&partnerID = 40&md5 = 0d20f89a2beb4be9851f2554ff13deab",NA,"English","J. Pop. Music Stud.","Final","Scopus","University of Virginia",NA,NA,"male",1,55,"author1","Maus2009137_author1",1,1,0,1,"maus_fred","Undefined",0
"Robertson2011455","Mary",NA,"Robertson","Mary Robertson","Popular Music","3","455 – 470",NA,"The constraints of colour: Popular music listening and the interrogation of race in post-apartheid South Africa","Article","30",2011,"10.1017/S0261143011000262","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84855713418&doi = 10.1017%2fS0261143011000262&partnerID = 40&md5 = 35d6db6b1be5ce2a88dc52807406a179",NA,"English","Pop. Music","Final","Scopus","Department of Anthropology, University of Chicago, Chicago, IL, United States","United States","US","female",1,636921,"author1","Robertson2011455_author1",1,1,0,1,"robertson_mary","Undefined",7
"Wolther2012165","Irving",NA,"Wolther","Irving Wolther","Popular Music","1","165 – 171",NA,"More than just music: The seven dimensions of the Eurovision Song Contest","Article","31",2012,"10.1017/S0261143011000511","02611430","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84859084881&doi = 10.1017%2fS0261143011000511&partnerID = 40&md5 = 0a152995a73555191eda1ac87d20d8c1",NA,"English","Pop. Music","Final","Scopus","30161 Hannover, GoeGenstrasse 3, Germany","Germany","DE","male",1,20,"author1","Wolther2012165_author1",1,1,0,1,"wolther_irving","Undefined",12
